seconds,situations,mirrored,probing
45.46,7220000,103,108005329
45.53,7230000,103,108211999
45.60,7240000,104,108474641
45.70,7250000,104,108858872
45.78,7260000,104,109115810
45.85,7270000,104,109379982
45.93,7280000,104,109615195
46.00,7290000,104,109856243
46.08,7300000,104,110162211
46.15,7310000,104,110339890
46.23,7320000,104,110622105
46.32,7330000,104,110993549
46.40,7340000,104,111313576
46.46,7350000,104,111505047
46.56,7360000,104,111919256
46.65,7370000,104,112275905
46.74,7380000,104,112721946
46.82,7390000,104,112999681
46.91,7400000,104,113347984
46.99,7410000,104,113671771
47.06,7420000,104,113879380
47.13,7430000,104,114140726
47.21,7440000,104,114411984
47.30,7450000,104,114771307
47.39,7460000,104,115108044
47.47,7470000,104,115414999
47.54,7480000,104,115639015
47.62,7490000,104,115886532
47.69,7500000,104,116159063
47.76,7510000,105,116398635
47.84,7520000,106,116684833
47.91,7530000,106,116902853
47.99,7540000,106,117181527
48.07,7550000,106,117452729
48.15,7560000,106,117755721
48.24,7570000,106,118109552
48.32,7580000,106,118464865
48.40,7590000,106,118767104
48.48,7600000,106,119074363
48.58,7610000,106,119443577
48.66,7620000,106,119764943
48.76,7630000,106,120216296
48.84,7640000,108,120501600
48.92,7650000,108,120786621
49.02,7660000,108,121202243
49.09,7670000,108,121463441
49.18,7680000,108,121821341
49.25,7690000,108,122026157
49.32,7700000,108,122296959
49.40,7710000,108,122603016
49.48,7720000,108,122845833
49.56,7730000,108,123116606
49.63,7740000,108,123394349
49.72,7750000,108,123678132
49.81,7760000,111,124111639
49.90,7770000,113,124466080
49.97,7780000,115,124724445
50.06,7790000,115,125097392
50.16,7800000,115,125570238
50.24,7810000,115,125849825
50.32,7820000,115,126228312
50.42,7830000,115,126618578
50.52,7840000,115,127097066
50.61,7850000,115,127549268
50.72,7860000,115,128091787
50.81,7870000,115,128411262
50.90,7880000,115,128840387
51.00,7890000,115,129265308
51.10,7900000,115,129746288
51.20,7910000,115,130116373
51.28,7920000,115,130399569
51.36,7930000,115,130709001
51.44,7940000,115,130995340
51.52,7950000,115,131261966
51.60,7960000,115,131543174
51.67,7970000,115,131799126
51.75,7980000,115,132087227
51.83,7990000,115,132349025
51.91,8000000,115,132627309
51.99,8010000,115,132941751
52.08,8020000,115,133292962
52.17,8030000,115,133712727
52.26,8040000,115,134020879
52.35,8050000,115,134418127
52.44,8060000,115,134746834
52.52,8070000,115,135089291
52.62,8080000,115,135515469
52.71,8090000,115,135878239
52.79,8100000,115,136129569
52.87,8110000,115,136411652
52.94,8120000,115,136686956
53.02,8130000,115,136992186
53.11,8140000,115,137342145
53.21,8150000,115,137750043
53.30,8160000,115,138128938
53.38,8170000,115,138451117
53.46,8180000,115,138710226
53.54,8190000,115,139057001
53.64,8200000,115,139418807
53.73,8210000,115,139832237
53.82,8220000,115,140183492
53.90,8230000,118,140494686
53.98,8240000,118,140788611
54.06,8250000,119,141127144
54.14,8260000,119,141386696
54.22,8270000,119,141706444
54.30,8280000,119,141989550
54.38,8290000,119,142241911
54.46,8300000,119,142515412
54.54,8310000,119,142798405
54.62,8320000,119,143099536
54.71,8330000,119,143479184
54.80,8340000,119,143839246
54.88,8350000,119,144144495
54.98,8360000,119,144536214
55.08,8370000,119,145021943
55.16,8380000,119,145314709
55.26,8390000,119,145740059
55.34,8400000,119,146027208
55.44,8410000,119,146498173
55.52,8420000,119,146803968
55.62,8430000,119,147173999
55.69,8440000,119,147406898
55.78,8450000,119,147765454
55.87,8460000,119,148169399
55.97,8470000,119,148576207
56.06,8480000,119,148923737
56.14,8490000,119,149258670
56.24,8500000,119,149645395
