seconds,situations,mirrored,probing
48.02,7490000,104,115886532
48.10,7500000,104,116159063
48.17,7510000,105,116398635
48.25,7520000,106,116684833
48.32,7530000,106,116902853
48.40,7540000,106,117181527
48.48,7550000,106,117452729
48.56,7560000,106,117755721
48.64,7570000,106,118109552
48.74,7580000,106,118464865
48.82,7590000,106,118767104
48.90,7600000,106,119074363
48.99,7610000,106,119443577
49.08,7620000,106,119764943
49.18,7630000,106,120216296
49.26,7640000,108,120501600
49.34,7650000,108,120786621
49.44,7660000,108,121202243
49.51,7670000,108,121463441
49.60,7680000,108,121821341
49.67,7690000,108,122026157
49.75,7700000,108,122296959
49.83,7710000,108,122603016
49.90,7720000,108,122845833
49.97,7730000,108,123116606
50.05,7740000,108,123394349
50.13,7750000,108,123678132
50.23,7760000,111,124111639
50.32,7770000,113,124466080
50.39,7780000,115,124724445
50.48,7790000,115,125097392
50.59,7800000,115,125570238
50.67,7810000,115,125849825
50.76,7820000,115,126228312
50.84,7830000,115,126618578
50.95,7840000,115,127097066
51.05,7850000,115,127549268
51.16,7860000,115,128091787
51.25,7870000,115,128411262
51.34,7880000,115,128840387
51.44,7890000,115,129265308
51.54,7900000,115,129746288
51.63,7910000,115,130116373
51.71,7920000,115,130399569
51.79,7930000,115,130709001
51.87,7940000,115,130995340
51.95,7950000,115,131261966
52.03,7960000,115,131543174
52.11,7970000,115,131799126
52.19,7980000,115,132087227
52.27,7990000,115,132349025
52.35,8000000,115,132627309
52.43,8010000,115,132941751
52.52,8020000,115,133292962
52.61,8030000,115,133712727
52.70,8040000,115,134020879
52.79,8050000,115,134418127
52.88,8060000,115,134746834
52.96,8070000,115,135089291
53.06,8080000,115,135515469
53.15,8090000,115,135878239
53.23,8100000,115,136129569
53.31,8110000,115,136411652
53.39,8120000,115,136686956
53.47,8130000,115,136992186
53.55,8140000,115,137342145
53.65,8150000,115,137750043
53.74,8160000,115,138128938
53.82,8170000,115,138451117
53.90,8180000,115,138710226
53.99,8190000,115,139057001
54.08,8200000,115,139418807
54.17,8210000,115,139832237
54.26,8220000,115,140183492
54.34,8230000,118,140494686
54.42,8240000,118,140788611
54.50,8250000,119,141127144
54.58,8260000,119,141386696
54.66,8270000,119,141706444
54.75,8280000,119,141989550
54.82,8290000,119,142241911
54.90,8300000,119,142515412
54.98,8310000,119,142798405
55.06,8320000,119,143099536
55.15,8330000,119,143479184
55.24,8340000,119,143839246
55.32,8350000,119,144144495
55.42,8360000,119,144536214
55.53,8370000,119,145021943
55.61,8380000,119,145314709
55.70,8390000,119,145740059
55.78,8400000,119,146027208
55.89,8410000,119,146498173
55.97,8420000,119,146803968
56.05,8430000,119,147173999
56.13,8440000,119,147406898
56.21,8450000,119,147765454
56.31,8460000,119,148169399
56.41,8470000,119,148576207
56.50,8480000,119,148923737
56.58,8490000,119,149258670
56.67,8500000,119,149645395
56.76,8510000,119,149974008
56.85,8520000,119,150298641
56.95,8530000,119,150728680
57.05,8540000,119,151188232
57.14,8550000,119,151540061
57.23,8560000,119,151921628
57.32,8570000,119,152255061
57.41,8580000,119,152653956
57.52,8590000,119,153129408
57.61,8600000,119,153551337
57.71,8610000,119,153967586
57.80,8620000,119,154350275
57.90,8630000,119,154792107
57.99,8640000,119,155168096
58.10,8650000,119,155675423
58.19,8660000,121,156043606
58.30,8670000,121,156531052
58.41,8680000,121,157009073
58.51,8690000,121,157410708
58.59,8700000,121,157658414
58.66,8710000,121,157943643
58.75,8720000,121,158296123
58.83,8730000,121,158581955
58.92,8740000,121,158921628
59.00,8750000,121,159257166
59.11,8760000,121,159713495
59.21,8770000,121,160145857
59.31,8780000,121,160558383
59.39,8790000,121,160887260
59.48,8800000,121,161226294
59.57,8810000,121,161588182
59.67,8820000,121,162008324
59.75,8830000,121,162269763
59.84,8840000,121,162637213
59.93,8850000,121,162981595
60.03,8860000,121,163380489
60.10,8870000,121,163687543
60.20,8880000,121,164064525
60.30,8890000,121,164510953
60.39,8900000,121,164926544
60.48,8910000,121,165324141
60.58,8920000,121,165756393
60.68,8930000,121,166144960
60.79,8940000,121,166685074
60.91,8950000,121,167251996
61.00,8960000,121,167682999
61.11,8970000,121,168141983
61.21,8980000,121,168627018
61.32,8990000,121,169126060
61.43,9000000,121,169650938
61.54,9010000,121,170170947
61.65,9020000,121,170659463
61.74,9030000,121,171078301
61.84,9040000,121,171488188
61.95,9050000,121,172033489
62.06,9060000,121,172513040
62.18,9070000,121,173117079
62.28,9080000,121,173566185
62.40,9090000,121,174111966
62.51,9100000,121,174651543
62.62,9110000,121,175140584
62.73,9120000,121,175657995
62.84,9130000,121,176133955
62.95,9140000,121,176665791
63.07,9150000,121,177228398
63.18,9160000,121,177767092
63.29,9170000,121,178344789
63.40,9180000,121,178820040
63.51,9190000,121,179377151
63.64,9200000,122,180007412
63.77,9210000,122,180677701
63.86,9220000,122,181108554
63.96,9230000,122,181510551
64.06,9240000,122,181919007
64.18,9250000,122,182542507
64.28,9260000,122,182966293
64.40,9270000,122,183514462
64.50,9280000,122,183953640
64.62,9290000,122,184533266
64.74,9300000,122,185059461
64.86,9310000,122,185634566
64.97,9320000,122,186144746
65.08,9330000,122,186607687
65.19,9340000,122,187117109
65.33,9350000,122,187840204
65.45,9360000,122,188432269
65.59,9370000,122,189162221
65.71,9380000,122,189724973
65.82,9390000,122,190209603
65.92,9400000,122,190688868
66.04,9410000,122,191219965
66.17,9420000,122,191870162
66.28,9430000,122,192364115
66.39,9440000,122,192886166
66.53,9450000,122,193557040
66.64,9460000,122,194076143
66.77,9470000,122,194715839
66.88,9480000,122,195200593
66.99,9490000,122,195758757
67.14,9500000,122,196518415
67.29,9510000,122,197360844
67.42,9520000,122,197987414
67.55,9530000,122,198640560
67.67,9540000,122,199167337
67.80,9550000,122,199849027
67.91,9560000,122,200352149
68.05,9570000,122,201041672
68.15,9580000,122,201540013
68.27,9590000,122,202051798
68.40,9600000,122,202713646
68.54,9610000,122,203443854
68.71,9620000,122,204324466
68.87,9630000,122,205178050
69.00,9640000,122,205845048
69.15,9650000,122,206643288
69.27,9660000,122,207154761
69.41,9670000,122,207876984
69.57,9680000,122,208699089
69.72,9690000,122,209485765
69.88,9700000,122,210335226
70.03,9710000,122,211148179
70.19,9720000,122,211921820
70.33,9730000,122,212635752
70.45,9740000,123,213269439
70.57,9750000,123,213745124
70.70,9760000,127,214401936
70.83,9770000,127,215009332
70.94,9780000,127,215534497
71.07,9790000,127,216149009
71.21,9800000,127,216829101
71.33,9810000,127,217423326
71.45,9820000,127,217951575
71.59,9830000,127,218686052
71.76,9840000,127,219554428
71.92,9850000,129,220390240
72.07,9860000,129,221138000
72.17,9870000,130,221595116
72.33,9880000,130,222395955
72.51,9890000,130,223404839
72.67,9900000,130,224193399
72.83,9910000,130,225072739
73.00,9920000,130,225925236
73.13,9930000,130,226525745
73.27,9940000,130,227233818
73.44,9950000,130,228139863
73.60,9960000,130,228890027
73.77,9970000,130,229740504
73.93,9980000,130,230543006
74.08,9990000,130,231266188
74.25,10000000,130,232105765
74.41,10010000,130,232844781
74.56,10020000,131,233600291
74.70,10030000,131,234295763
74.87,10040000,131,235095635
75.01,10050000,131,235765468
75.17,10060000,131,236623360
75.33,10070000,131,237425671
75.50,10080000,131,238246062
